,deptCode,courseNum,description
436,ART,103,"Students will work with a wide variety of painting materials, methods and strategies in a studio art context. Students will explore painting concepts, form, and technique through production and critique of artworks, as well as address theories and histories of visual representation through readings and discussion. Students with little or no background in visual art are encouraged to participate along with those who have significant knowledge and experience. "
437,ART,104,"Students will work with a wide variety of sculptural materials, methods and strategies in a studio art context. Students will explore sculpture concepts, form, and technique through production and critique of artworks, as well as address theories and histories of visual representation through readings and discussion. Students with little or no background in visual art are encouraged to participate along with those who may have significant knowledge and experience. "
438,ART,140,"A creative and expressive exploration of multiple art media, including but not limited to drawing, painting and design elements. This course is an introduction to the art making process with weekly interactive lectures and hands on studio sections. "
439,ART,150,This is an introductory drawing course with an emphasis on heightening visual awareness and utilizing basic elements of technique and concept. Media such as pencil and charcoal will be used through a variety of technical and conceptual exercises. This course is designed for students who have little to no prior experience with drawing. 
440,ART,151,"Course offers a foundation in black & white film photography. Camera use, film exposure & processing, and printing processes will be explained and demonstrated. Provides a technical & conceptual understanding of photography as a visual medium for expression and communication of ideas. "
441,ART,154,"This is an introductory course for those who have little or no experience working in digital video formats. Students will explore the tools and techniques of moving image production through individual and team projects, as well as view and discuss existing films and videos. Students will learn basic camera functions and the use of professional editing programs for video and sound. Projects will focus on the creation of time-based media with an emphasis on technique, documentation, narrative, and context. "
442,ART,155,"This course introduces non-graphic design majors to visual literacy, composition, and the creative process. Students will solve real world visual communication problems in a hands-on studio environment using Adobe Creative Suite (Illustrator, Photoshop, and InDesign). Students will receive instruction in the elements of visual grammar and establish a foundation for visual literacy based on design principles. Using hands-on exercises and problem-solving projects, students will work through the creative process and learn industry standards necessary to function in today's commercial art field. "
443,ART,191,Topics vary; consult Unit One office. 
444,ART,199,Additional fees may apply. See Class Schedule. May be repeated.
445,ART,201,"Philosophical and practical foundations for teaching art in early childhood settings. Lectures, discussions and class activities focus on the value of art in the curriculum, artistic development and instruction, observation and guided teaching practice. "
446,ART,299,Topics and subject matter to be published in course listings. 
447,ART,310,"Introduces design literacy and promotes an understanding of the field of contemporary design. Explores design thinking as a common thread that connects all disciplines concerned with the making of things, the solving of problems, and the organization of information. Through a series of lectures, case studies, and simple design projects, this course offers an extensible framework of tools and strategies that can be applied across multiple disciplinary boundaries."
448,ARTD,101,"Introduction to problem-finding and problem-solving processes in the design of products. This course teaches foundational industrial design skills, methods, philosophies, and design thinking. Creation of 3-dimensional products begins with a simplified design process, adding steps until a final project is completed that incorporates all components of the design process. This course satisfies the 3D requirement in the new Art + Design Foundations curriculum. "
449,ARTD,151,"An introductory course for students considering graphic design as their major. This course teaches design as a critical thinking and problem solving process that will be applied to class projects. Topics will include principles of visual perception, visual communication theory, precedents in design history, and technical skills common to the practice of graphic design and which relate to image making, surface design, typography, layout, design systems and their applications. This course satisfies the 2D requirement for the new Art + Design Foundation curriculum. "
450,ARTD,160,"Explores photography and video as the most powerful media in today's image-saturated world. Students will look at, think about, discuss, and write about a diverse array of photography and video. They will study examples of historical and contemporary art, design, journalism and advertising, in various and numerous contexts. Students will make their own images, create their own videos, conduct visual research, and produce media-based projects. Students will also build their own individual social media sites for sharing their work with both their classmates and the world. This course satisfies the 2D requirement in the new Art+Design curriculum. "
451,ARTD,201,"Introduction to the creative process and methods involved in industrial design; research, modeling, form giving, prototyping and communication with emphasis on user centered design. Projects of escalating scale and complexity complemented by lectures and demonstrations. "
452,ARTD,209,Explores the Japanese Tea Ceremony and its relevance to everyday life.  Students will acquire a better understanding of Japanese culture and a new appreciation of their own cultures through the study of the Tea Ceremony and the Zen worldview that informs it. 
453,ARTD,217,ARTS EXCHANGE: Introduces students to the field of graphic design in theory and practice. Examines what graphic designers make and the methods that are employed in contemporary design practice. Emphasis is placed on the organization and visual presentation of relevant content across media and their effect within systems. 
454,ARTD,222,This introductory studio functions as a survey of typographic practice across media platforms. Students relate typographic form to reading conventions and reproduction technologies. 
455,ARTD,225,Introduction to rapid drawing methods and tools used by designers. Focuses on theory and application of orthographic and perspective drawing for communication of design ideas. 
456,ARTD,230,"Design thinking, a term with origins in industrial design practice, describes a human-centered approach to design and innovation in products and services, addressing the tri-partite requirements of feasibility, desirability and viability. With this focus on determining user needs, a variety of processes, including observation, empathy, ideation, prototyping and modeling, are used to discover people's needs and opportunities for design thinking, along with the communication of design outcomes by diagrammatic and narrative means. Design thinking is best done in teams, hence the project team basis for this course. This course concentrates on need-finding rather than the full resolution of design proposals. "
457,ARTD,251,This studio introduces students to the field of graphic design in theory and practice. The course examines what graphic designers make and the methods that are employed in contemporary design practice. Emphasis is placed on the organization and visual presentation of relevant content across media and their effect within systems. 
458,ARTD,260,"Investigates basic image making and meaning. Student works with digital camera, exposure meter and learns digital printing. Student must furnish camera. "
459,ARTD,261,Uses digital process to express content with emphasis on the development of a personal aesthetic. Student must furnish camera. 
460,ARTD,270,"Design Methods is a hybrid studio and seminar that introduces students to the principles and process of human-centered design through a focus on research and observation outside of the studio. This approach will allow students to address the social and cultural contexts in which designers intervene. Through a series of exercises and projects, students will begin to develop competencies in conducting research in specific environments in order to inform and inspire the direction of their design projects. Students will also learn how to iterate design solutions and prototypes based on expert input, testing and user feedback. Students will better understand and articulate the tools and methodologies shared by all design disciplines as it relates to a variety of actions and outcomes: visual communication and the design of objects, services, interactions and experiences. "
461,ARTD,299,Topics and subject matter to be published in course listings. 
462,ARTD,301,"Design of user centered products for mass production; experience in the iterative problem solving processes and methods. Addresses practical constraints such as sustainability, environmental factors/ergonomics, manufacturing and materials, social and political and economic. "
463,ARTD,317,"This User interface/User experience (UI/UX) studio introduces the non-designer to the construction of compelling user experiences that incorporate the use of digital products/code. Students investigate both the theoretical and practical aspects of UI/UX through projects involving information architecture, user scenarios, wireframing, interface design, and creative code for web and mobile products. "
464,ARTD,328,"Principles of human-centered design and usability applied to products, product systems, and product environments to enhance the user experience; strategies to enhance independent learning for professional development, to further research, and to acquire new skills. "
465,ARTD,351,A series of topical studios that touch upon the myriad practices of graphic design. Students produce and analyze form and content according to each individual topic. Media engagement varies across sections. 
466,ARTD,360,Explores creative expression through various media but primarily photography. Students select format based on prior experience; group critiques held weekly; initial opportunity to experiment in personally selected directions and assignments which will be refined and amplified in 
467,ARTD,362,Advanced course on a special topic: see Class Schedule section note for description. 
468,ARTD,363,"An advanced Photoshop course for the student interested in a digital approach to Fine Art Photography. Students will explore the use and conversion methods of the RAW digital process, and learn how to extract, control, and enhance digital image files. Over the course of the semester, an effective and personal workflow within the Photoshop environment will be developed. Access to a digital SLR camera is required. "
469,ARTD,371,"This analytical studio prepares students for entry into the field of graphic design. Professional practice is parsed into areas of opportunity, to which students ultimately align themselves and by which they structure their preparatory endeavors. "
470,ARTD,391,Directed independent creative activity or research. 
471,ARTD,399,Internships to be pre-approved for variable credit. Students will be required to document work completed during the internship with verification of supervisor. Supervisor will also be required to fill out a questionnaire either by mail or on-line. Faculty members will assess work and questionnaires to assign a grade. 
472,ARTD,401,"Advanced design projects in the context of the business environment in which product design and development takes place; marketing, branding, merchandizing, entrepreneurship within the context of globalized marketing and manufacturing. "
473,ARTD,415,"Students develop, design, and produce issues of the national literary and arts journal, Ninth Letter. Also involves students in curating and designing content for the companion website, ninthletter.com. "
474,ARTD,426,"Presents an overview of the product development process from concept generation to design for manufacturing and project management. Emphasis on product definition, innovation, the early phases of development and the role of designer in new product development. "
475,ARTD,451,Ethics of a Designer in a Global Economy (EDGE) studio presents complex problems of ethics within the graphic design practice. Individual sections address social and environmental issues. 
476,ARTD,460,Concentrated use of photographic processes for creative expression with emphasis on professionalism and the production of a photographic portfolio. 
477,ARTD,490,"Independent creative activity, guided study, or research for honors. "
478,ARTD,499,Topics and subject matter to be published in course listings. 
479,ARTD,501,"Introductory graduate-level course emphasizing in-depth design research used to evaluate set studio projects. Focuses on the development of critical thinking and product evaluation, and the development of inherent skills required to communicate that thinking through designed artifacts. This course is the first level of a six-term study in a three-year program leading to a terminal degree of MFA in Industrial Design. "
480,ARTD,503,"Start of the second level of a six-term study in a three-year program leading to a terminal degree of MFA in Industrial Design. For two-year program, emphasis is solely directed to a research and design project that is the first stage of a comprehensive written thesis. "
481,ARTD,570,This seminar coordinates readings in design theory and the processes and principles of human-centered design with graduate students’ emerging thesis research interests. Students will address the role of design research methodology in establishing design practice and design pedagogy. Graphic Design students enrolled in this course will be well-prepared to take leadership roles in the corresponding Design Methods (
482,ARTD,591,Directed individual creative activity or research. 
483,ARTD,595,This studio provides the MFA design student with tools to further define and develop their body of work within the graphic design program's mission through an individual or collaborative path. The course will enhance a students' ability to inform their research with a rigorous theoretical framework that informs both viable research and pedagogical methods and processes. 
484,ARTD,599,Faculty guidance in research and writing thesis for advanced degree in Industrial Design. 
485,ARTE,202,"In this course students will learn how individuals can facilitate the art experience for others. Through mutual exploration, research, and invention, students in this course will develop personal methods for teaching art and guiding others through experiences with art. There is a strong emphasis made in this course on how teaching practice(s) are related to art making practice(s) and therefore how teaching is a means through which meaning is made for the self and the public. "
486,ARTE,203,"In this course, undergraduates learn to design and teach arts curriculum for youth (k-12) in settings including libraries, community centers, and schools. Students will explore their identities as artists, educators, and citizens, and learn how to assess impact of their projects and teaching. The course welcomes all students; no prior teaching or community-based education experience necessary. Non-art education majors should expect to spend 1 day / 3 hours per week at a community site during the after-school hours (e.g. 2:00-5:00) during the second half of the semester. "
487,ARTE,204,"Provides undergraduate and graduates seeking certification in Art Education structured and supervised teaching experience in the Everyday Arts Lab program, held 2 afternoons per week during the second half of the semester. Professional development in lesson planning, instruction, and assessment will comprise the goals of the course. "
488,ARTE,302,"Focusing on contemporary art and integration with other disciplines, students will design lesson plans and curriculum for secondary students. Observations and teaching of lessons will occur in local junior/high school art rooms. "
489,ARTE,391,Directed independent research or creative activity. 
490,ARTE,401,"Examines responsibilities, methods, and techniques specific to teaching art in elementary and secondary schools; includes the psychology of the exceptional child in conjunction with methods of instruction and student teaching experience. "
491,ARTE,475,"Explores issues pertaining to the preparation, installation and conservation of visual art. Students will learn how to organize, design, spot and install an exhibition; develop exhibition graphics; address conservation issues; handle works of art; and learn the business of art. Field trips and guest lectures by conservators, preparators, curators and exhibition designers will add further depth to the class. "
492,ARTE,490,Independent guided research and study for honors. 
493,ARTE,506,"Designed for doctoral level students. Readings and discussions introduce the theories upon which classroom practices are based, and follow the historical sequence of three major movements within art education over the past 100 years: self-expression in art education, discipline-based art education, and the recent shift toward visual culture in art education. Primary emphasis will be on understanding recent and contemporary orientations. Designed to provide a basis for more in-depth study of curriculum and instruction, child development, multiculturalism, visual culture, and other areas germane to art education. Students compare and contrast the literature in terms of the theories offered, or assumed, of children, art, pedagogy, and society. In addition, students will be introduced to academic standards of writing."
494,ARTE,591,Individual direction in research and in creative activity; thesis. 
495,ARTE,593,"An asynchronous online graduate level course dedicated to providing an overview and foundation [survey course] for informed understanding of the research process, including: definitions and examples of research; common issues such as the IRB, copyright and plagiarism; formulating a personal research guide book; and exploring various qualitative methodologies such as Case Study; Content Analysis; Historical Study; [Participatory] Action Research; Arts-based; A/r/t/ography; [Auto] Ethnography; Queer; Feminism; and Psychoanalysis. Substantive reading and writing is required. "
496,ARTE,599,Guidance in research and writing theses for advanced degrees. 
497,ARTF,101,"Exposes the first year student in an interactive lecture/discussion format to contemporary issues and disciplines in the visual arts. Course requirements include attendance of course lectures, field trips, visiting artist presentations, keeping of a journal and the writing of a paper. "
498,ARTF,102,"Theory and practice in observational drawing with emphasis on fundamental principles such as mark/line, shape/form, space/composition, linear/perspective, scale/proportion, value/tonal range, and pattern/texture. "
499,ARTF,106,"This studio course introduces students to the graphic representation techniques of visualization utilized within the fields of design and arts, as well as teaches drawing as a tool for thinking. Lectures and studio projects examine the language of three-dimensional form and deal with a wide range of analysis and representation of form, including mechanical drawing, freehand sketching and various means of rendering. "
500,ARTF,199,Additional fees may apply. See Class Schedule.
501,ARTH,110,"This course introduces participants to foundational questions that shape the disciplines of art history and visual studies. It is not a comprehensive survey. Rather, it provides students critical frames for examining the visual world from various temporal, geographic, and methodological perspectives. Students will investigate the history, interpretation, and criticism of selected cultural objects, images, places, and spaces across time and around the globe."
502,ARTH,211,"The historical, social and cultural context of design concentrating on manufactured products, communication, media and design from the Industrial Revolution to the present. Lectures, seminars and individual research projects."
503,ARTH,217,Same as CLCV 231 and JS 231. See CLCV 231.
504,ARTH,242,"The scope of this course begins amidst the devastation and geopolitical shifts that followed World War II and ends with the effects of globalization in the 1990s and 2000s. We will ask the same questions that faced artists and critics in between: Should art focus on its own material processes or open its borders to historical flux? Is it art's job to create the cultural myths that bind society together, or to deconstruct them? Who participates in modern and contemporary art, and who doesn't? What kinds of production should be considered art? How are specific formal strategies informed by the perspectives of different subject positions? What politics underwrite them? We will consider, and reconsider, the existing narratives about art during this period with a dual aim: first, to better understand the historical positions of the artists in question, and, second, to piece together a prehistory of the moment in which we currently find ourselves."
505,ARTH,250,Surveys American art and architecture from the colonial period to the present.
506,ARTH,299,Special topics in Art History Courses. Topics and subject matter to be published in course listings. 
507,ARTH,342,"Introduction to the major art historical, stylistic and iconographic developments of several Latin American countries of the late sixteenth through eighteenth centuries. Themes to be investigate include: the pictorial representation of race; indigenous workshops, traditions, and the birth of European art academies; the constructions of gender; as well as the translation of styles. The course includes field trips to local museums and libraries. Previous introductory level art history or Latin American history course recommended. "
508,ARTH,360,"Explores the complex interconnections of women with the visual arts in Europe and North America from the classical era to the present, including the modes of artistic production and the representation of women in western society. "
509,ARTH,391,Directed independent research. 
510,ARTH,395,Offers Art History majors grounding in the discipline' s historiography and exposure to diverse historical methods. Provides students with experience in a range of research techniques as preparation for their Senior Seminar. 
511,ARTH,402,"Focuses on modes of seeing and technologies of vision manifest in the visual arts of Edo Japan, 1615-1868. At the time, imported European instruments of seeing, such as the microscope, made possible unusual visual experiences; revivals of classical Japanese painting manipulated different ways of recreating and visualizing the past. A variety of themes, organized chronologically, will demonstrate the importance of seeing in painting and calligraphy, ceramics, woodblock prints, and architecture. "
512,ARTH,440,"Studies English, French, and German art from the end of the eighteenth century through 1840; focuses on revivalist movements, historicism, landscape art, and changing conceptions of art and artist during the period. "
513,ARTH,489,Independent guided research and study in a selected area of art history for candidates for the Bachelor of Arts in Art History with departmental distinction. 
514,ARTH,490,Directed independent research and study for honors. 
515,ARTH,491,Variable content; consult the Class Schedule for current topics. 
516,ARTH,495,"Required seminar for undergraduate majors that offers students practical experience in research techniques. Focuses on a specialized theme of the professor's choice, and will incorporate extensive reading in a specific field of Art History and the completion of a substantial research paper. "
517,ARTH,515,Research seminar in subject selected from the art and architecture of the ancient period. 
518,ARTH,541,Investigation of special problems in the history of twentieth-century art. Students present reports of their research. 
519,ARTH,550,Investigation of selected problems in the history of American art. 
520,ARTH,591,Directed readings in special fields or aspects of history of art not provided in depth by the current course offerings. 
521,ARTH,593,Investigation of the theory and practice of art history as a discipline. Discussions address historiographical and methodological issues and include both traditional and recent approaches to the discipline. 
522,ARTH,599,Guidance in research and writing theses for advanced degrees. 
523,ARTS,205,"Introduction to the materials and techniques of printmaking, including intaglio, relief, lithography, and screenprint. Over the course of several projects, students will develop a familiarity with print processes while learning about the unique history and conceptual concerns of print media. Composition and technique are emphasized, and projects that relate to work developed in other studio and design areas are encouraged. "
524,ARTS,210,"Introduction to materials and techniques involved in the ceramic process. By achieving technical expertise using clay, students can begin to develop a personal artistic language employing clay as an art medium. Students will explore a variety of assignments employing hand-building techniques, as well as investigating various firing processes. "
525,ARTS,230,"Design and execution of jewelry and related objects through fabrication, focusing on surface embellishment, joining, and finishing processes; exploring metal as a medium of personal aesthetic expression. "
526,ARTS,231,"Additional experience and experimentation in designing and executing jewelry and related objects through fabrication, refinement of surface embellishment, joining, and finishing skills; further exploration of metal as a medium of personal aesthetic expression. "
527,ARTS,241,"Looks at the production and reception of images through a combination of historical, theoretical and practical perspectives. A variety of contexts from contemporary art, design and popular culture will be explored through research and visual projects. Special consideration will be given to current forms of reproduction, with students learning and utilizing common methods for rendering and realizing still images, including both print and screen-based output. This course satisfies the 4D requirement for the new Art andDesign Foundations curriculum. "
528,ARTS,243,"Explores the potential of time-based media for creative expression and communications within the context of visual art and design. Classroom discussion will focus on historical and contemporary examples of time arts, written materials, and student work. Hands-on projects will introduce tools, issues and strategies particular to creating and analyzing work based in time. This course satisfies the 4D requirement for the new Art and Design Foundations curriculum. "
529,ARTS,244,"Introduction to the conceptualization and construction of interactive experience for art and design. Interaction will be examined as technical, structural, social, and historical. Work will include practice, research, discussion, and lecture. This course satisfies the 4D requirement in the new Art and Design Foundations curriculum. "
530,ARTS,250,Representational and interpretive drawing from life explored through close observation and structural analysis of the human figure and other subject matter. 
531,ARTS,251,"This studio course familiarizes students with basic oil painting materials, techniques, and concepts. Topics to be addressed include composition, color theory, historical painting techniques, illusionistic space, and paint handling and application. Exploration and discussion of the ways in which paintings make meaning. This course satisfies the 2D requirement in the Art Foundations curriculum. "
532,ARTS,252,"Introduction to the relationship of material, method, and process to meaning in art practice. Through research, critique, and application of concepts in material studio processes, students will explore a diverse range of methods of achieving meaning in an artwork. "
533,ARTS,280,"Introduction to basic concepts, processes, and materials in sculpture, with an emphasis on the relationship among these three aspects of producing works of art. Materials including wood, plaster, and clay will be used additively to fabricate, model and cast forms. Subtractive methods utilizing carving, and the making of meaning via materials, methods and context are also discussed. This course satisfies the 3D requirement in the Art Foundations curriculum. "
534,ARTS,299,Special topics in Studio Art Courses. Topics and subject matter to be published in course listings. 
535,ARTS,310,"Students will develop more sophisticated techniques and processes necessary to develop their personal voice and take more responsibility for concept, process and material in their work. Emphasis will stress processes related to creating ceramic sculpture such as hand construction techniques, kiln firing, clay and glaze experimentation. "
536,ARTS,330,"The design and production of jewelry and related objects with additional experience in manipulative techniques such as casting, electroforming, surface decoration, enamelling, complex construction and forming. "
537,ARTS,331,Expands the general techniques of 
538,ARTS,332,Understanding of the working properties of nonferrous metals. Experimentation with little known processes of metalwork to be subjects of individual research. 
539,ARTS,350,"Combined painting, sculpture and new media studio. Self-directed arts practice. Individual and group critique; includes seminars, discussions, demonstrations, visiting artists and critics, and field trips. Interaction and collaboration among students in painting, sculpture and new media. "
540,ARTS,354,"This studio course introduces students to diverse topics and strategies in historical and contemporary painting, including impasto, collage, and various kinds of abstraction. Students will consider contemporary definitions of painting and explore alternative materials including industrial and craft painting materials, found materials, and newly-available painting media. Students will discuss recent and contemporary conceptual issues in painting. "
541,ARTS,391,Directed independent creative activity or research. 
542,ARTS,405,"Advanced exploration of specific printmaking processes. Students will develop skills through a progression of projects, while increasing their awareness of conceptual concerns unique to printmaking through discussion and field trips. Projects that relate to work developed in other studio and design areas are encouraged. "
543,ARTS,430,Expands the general techniques of 
544,ARTS,443,"Provides semester-long, in-depth explorations of single time arts topics. Using the ideas and basic tools from Time Arts I, students will study the advanced concepts and techniques particular to individual time arts genres while producing their own work. "
545,ARTS,445,"Course will explore one specialization within the field of New Media. Topics will rotate through each semester; possible subjects include Performance, Sound, Radio, Public Art, and Social Media. "
546,ARTS,450,"First of two capstone courses in studio arts practice, individualized study for painting, sculpture, and new media majors. Explores and develops conceptual and aesthetic interests, topics, and projects; expands and refines material knowledge and expertise; develops research strategies and methodologies. Includes individual and group critiques, dynamic interaction with faculty and peers. "
547,ARTS,455,"An advanced studio course focusing intensively on the practice of painting. Students will research contemporary painting and its recent history, discuss its relevance and place in contemporary art, and investigate and articulate their own conceptual motivations in using painting media. Topics will include the relationship of the history of painting to how its use generates meaning in a contemporary context. Students will engage in self-generated studio practice; this work will be the basis of group and individual discussion and critique. "
548,ARTS,490,"Independent creative activity, guided study, or research for honors. "
549,ARTS,499,Special topics in studio arts. Topics and subject matter to be published in course listings. 
550,ARTS,591,Directed individual creative activity or research. 
551,ARTS,593,Prerequisite: Graduate standing in art.
552,ARTS,595,Individually directed research and personal. 
553,ASRM,199,Covers special topics. 
554,ASRM,210,Study of compound interest and annuities; applications to problems in finance. 
555,ASRM,390,Guided research on introductory actuarial topics. 
556,ASRM,392,Methods and techniques of solving problems in actuarial mathematics for advanced students intending to enter the actuarial profession. 
557,ASRM,402,Same as STAT 409. See STAT 409.
558,ASRM,406,"Emphasizes techniques of linear algebra and introductory and advanced applications to actuarial science, finance and economics. Topics include linear equations, matrix theory, vector spaces, linear transformations, eigenvalues and eigenvectors and inner product spaces. In addition, current research topics such as modeling, data mining, and generalized linear models are explored. "
559,ASRM,410,"Theoretical foundation in financial models and their applications to insurance and other financial risks. Topics include derivative markets, no arbitrage pricing of financial derivatives, interest rate models, dynamic hedging and other risk management techniques. "
560,ASRM,450,Same as STAT 420. See STAT 420.
561,ASRM,451,Same as STAT 432. See STAT 432.
562,ASRM,461,"Foundation in the actuarial modeling process; construction, selection and validation of empirical models and parametric models. Also covers survival, severity, frequency and aggregate loss models; statistical methods to estimate model parameters. "
563,ASRM,471,"Distribution of the time-to-death random variable for a single life, and its implications for evaluations of insurance and annuity functions, net premiums, and reserves. "
564,ASRM,499,Covers special topics in actuarial science. 
565,ASRM,510,"Theoretical basis of financial models and their applications to insurance and other financial risks. Topics include derivative markets, no-arbitrage pricing of financial derivatives, interest rate models, dynamic hedging and other risk management techniques. "
566,ASRM,533,"Offers a comprehensive coverage of different aspects of risks and regulation of financial institutions. Topics include financial institutions and their trading, risk management frameworks, market risk, interest rate risk, liquidity risk, credit risk, operational risk, latest industry practices and regulation, including Basel and Solvency, fundamental review of trading books, scenario analysis and stress testing, etc. "
567,ASRM,551,Same as CSE 542 and STAT 542. See STAT 542.
568,ASRM,561,"Introduction to the actuarial modeling process: construction, selection and validation of empirical and parametric models. Survival, severity, frequency and aggregate loss models; statistical methods to estimate model parameters. "
569,ASRM,569,Principles and fundamental techniques of ratemaking for casualty and property insurances; risk classification; coinsurance; estimation of claim liabilities; financial reporting; catastrophe modeling. 
570,ASRM,598,Students present seminars and discussions on advanced topics in areas of actuarial and financial mathematics and advanced analytics. 
571,ASST,104,Same as REL 104. See REL104.
572,ASST,199,May be repeated.
573,ASST,390,"Directed readings in the languages and literatures of South Asia, Southeast Asia, or the Near East. The area selected depends on the student's interest. "
574,ASST,590,Supervised individual investigation or study of a topic not covered by regular course offerings. The topic selected by the student and the proposed plan of study must be approved by the student's adviser and the instructor who supervises the work. 
575,ASTR,100,"Introduces the student to the basic concepts of modern astronomy. Covers topics including the night sky; the solar system and its origin; the nature and evolution of stars; stellar remnants, including white dwarfs, neutron stars, and black holes; extrasolar planetary systems; galaxies and quasars; dark matter and dark energy; the Big Bang and the fate of the universe; and life in the universe. "
576,ASTR,121,"Introductory survey of the Solar System; structure and motions of the Earth and Moon; planetary motions; natures and characteristics of the planets and smaller solar system bodies; planetary moons and rings; meteors, meteoroids, and meteorites; properties of the Sun; origin and evolution of the Solar System; discovery of extrasolar planetary systems; architecture of extrasolar planetary systems and comparison to our solar system; habitable extrasolar planets. Emphasis will be placed on problem-solving and scientific methods. "
577,ASTR,122,"Introduction to celestial objects and phenomena beyond the Solar System, and their governing basic physical principles; galaxies, quasars, and structure of the universe; dark matter and dark energy; the Big Bang and the fate of the universe; the Milky Way; the interstellar medium and the birth of stars; stellar distances, motions, radiation, structure, evolution, and remnants, including neutron stars and black holes. Emphasis will be placed on problem-solving and scientific methods. "
578,ASTR,150,"Exploration of the most dangerous topics in the Universe, such as meteors, supernovae, gamma-ray bursts, magnetars, rogue black holes, colliding galaxies, quasars, and the end of the Universe, to name just a few."
579,ASTR,199,See course schedule for topics. 
580,ASTR,210,"Survey of modern astronomy for students with background in physics. Topics include: the solar system; nature and evolution of stars; white dwarfs, neutron stars, and black holes; galaxies, quasars and dark matter; large scale structure of the universe; the Big Bang; and Inflation. Emphasis will be on the physical principles underlying the astronomical phenomena. "
581,ASTR,350,"Studies the origin, evolution, and eventual fate of the universe, and the scientific tools used to study these issues. Topics include aspects of special and general relativity; curved spacetime; the Big Bang; inflation; primordial element synthesis; the cosmic microwave background; dark matter and the formation of galaxies; observational evidence for dark matter, dark energy, and black holes. "
582,ASTR,390,Individual study at an advanced undergraduate level. 
583,ASTR,404,"Introduction to astrophysical problems, with emphasis on underlying physical principles; includes the nature of stars, equations of state, stellar energy generation, stellar structure and evolution, astrophysical neutrinos, binary stars, white dwarfs, neutron stars and pulsars, and novae and supernovae. "
584,ASTR,406,"Nature of the Milky Way galaxy: stellar statistics and distributions, stellar populations, spiral structure, the nucleus and halo. Nature of ordinary galaxies; galaxies in our Local Group, structure of voids and superclusters. Nature of peculiar objects: Seyfert galaxies, starburst galaxies, and quasars. Elementary aspects of physical cosmology. "
585,ASTR,490,"Research with thesis, under the direction of a faculty member in astronomy. This course is recommended for all students who plan to do research and graduate study, and it is a prerequisite for graduation with highest distinction in astronomy. In the term preceding their initial enrollment, those interested in taking the course should consult with an academic advisor as well as the potential research advisor. A thesis must be presented for credit to be received. "
586,ASTR,502,"Introduction to stellar dynamics and fluid dynamics. Topics include two body collisions, two body relaxation, potential theory for stellar systems, adiabatic invariance, stellar system models, Jeans equations, and the virial theorem. Also hydrodynamics, magnetohydrodynamics, waves, instabilities, shocks, explosions, density waves, and wind-blown bubbles. "
587,ASTR,510,"Prepares students to use numerical simulations to study complex problems in astrophysics and cosmology. Numerical methods and parallel computing will be covered together with the design, validation, and analysis of simulations. Emphasis is placed on solving ordinary and partial differential equations that arise in astrophysical contexts. Students work on assigned numerical problems and perform simulations using existing simulation codes, writing a final paper which presents the results of simulations using one of these codes. There are no formal prerequisites except knowledge of a scientific programming language such as Fortran, C, and C++. Familiarity with Unix/Linux and astronomical analysis tools is useful but not required."
588,ASTR,540,Same as PHYS 540. See PHYS 540.
589,ASTR,590,Individual study or non-thesis research. 
590,ASTR,596,Approved for both letter and S/U grading. May be repeated. Prerequisite: Consent of instructor.
591,ASTR,599,Approved for S/U grading only. May be repeated.
592,ATMS,100,"Introduces the student to the basic concepts and principles of meteorology via the interpretation of weather maps and charts; uses current weather information to illustrate key concepts, emphasizes the physical atmospheric processes responsible for weather. By the end of the class students will be able to interpret and make basic weather forecasts as well as be able to explain basic atmospheric phenomena. "
593,ATMS,120,"Most extreme manifestations of weather and climate are analyzed in terms of their physical basis and their historical, economic and human consequences. Emphasis is placed on the interplay between technological advances, the evolution of meteorology as a science, and the impacts of extreme weather (winter storms, floods, severe thunderstorms, hurricanes, El Nino). Technological advances include satellites, weather radars and profilers, and computer models used for weather prediction. "
594,ATMS,140,"Introduces climate change and its interactions with the global environment; surveys the physical, chemical, biological and social factors contributing to global change; includes topics such as greenhouse warming, acid rain, ozone depletion, distinguishes anthropogenic influences and natural variability of the earth system; addresses societal impacts, mitigation strategies, policy options and other human responses to global change. "
595,ATMS,201,"Introduction to physical processes in the atmosphere, focusing on those relevant to weather and storms. Emphasizes quantitative problem solving. Topics include atmospheric structure, atmospheric thermodynamics, clouds, synoptic meteorology, weather forecasting, and storms. For students in atmospheric sciences, physics, mathematics, engineering, and other physical and natural sciences. "
596,ATMS,301,"Introduction to fundamental thermodynamic processes that occur in Earth's atmosphere. Defines, describes, and derives various thermodynamic concepts including (1) the conservation of energy, (2) laws of thermodynamics, (3) kinetic theory, (4) phase transitions of water, and (5) thermodynamic processes of the atmosphere. Applies thermodynamic concepts to atmospheric structure and stability, water phase transformations, and energy and mass transport within the atmosphere. "
597,ATMS,302,"Introduction to fundamental dynamical processes in the atmosphere through a descriptive and quantitative analysis of dynamical meteorology at the synoptic and global scale. Covers basic laws of fluid mechanics as applied to the atmospheric sciences, vorticity and circulation in 2-D and 3-D flows, boundary layer dynamics and friction, basic concepts of geophysical waves, and baroclinic instability. These topics will be covered both descriptively and mathematically with emphasis on computer representation of the fundamental processes governing atmospheric motion and application of theory to real-world examples. "
